大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0013	國立中正大學	310501	(應用)心理學系	D 日	B 學士	221	19	49	10 嘉義縣	1 一般
0013	國立中正大學	310903	戰略暨國際事務研究所	N 職	M 碩士	81	0	35	10 嘉義縣	1 一般
0013	國立中正大學	311003	勞工(關係)學系	D 日	B 學士	217	13	52	10 嘉義縣	1 一般
0013	國立中正大學	311003	勞工(關係)學系	N 職	M 碩士	98	0	31	10 嘉義縣	1 一般
0013	國立中正大學	311007	犯罪(防治)學系	D 日	B 學士	144	12	39	10 嘉義縣	1 一般
0013	國立中正大學	311007	犯罪(防治)學系	N 職	M 碩士	111	0	25	10 嘉義縣	1 一般
0013	國立中正大學	320102	傳播學系	D 日	B 學士	202	15	45	10 嘉義縣	1 一般
0013	國立中正大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	67	0	22	10 嘉義縣	1 一般
0013	國立中正大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	219	12	50	10 嘉義縣	1 一般
0013	國立中正大學	340201	會計(與)(資訊)(科技)(系統)學系	N 職	M 碩士	105	0	48	10 嘉義縣	1 一般
